Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,51,2,Some Random Commen with Id 0
1,0,0,97,2,Some Random Commen with Id 1
2,0,0,160,7,Some Random Commen with Id 2
3,0,0,173,1,Some Random Commen with Id 3
4,0,0,67,3,Some Random Commen with Id 4
5,0,0,189,0,Some Random Commen with Id 5
6,0,0,30,3,Some Random Commen with Id 6
7,0,0,7,3,Some Random Commen with Id 7
8,0,0,32,1,Some Random Commen with Id 8
9,1,6,7,0,Some Random Commen with Id 9
10,1,6,52,2,Some Random Commen with Id 10
11,1,6,155,0,Some Random Commen with Id 11
12,1,6,194,6,Some Random Commen with Id 12
13,1,6,125,9,Some Random Commen with Id 13
14,1,6,29,9,Some Random Commen with Id 14
15,2,4,197,1,Some Random Commen with Id 15
16,2,4,52,9,Some Random Commen with Id 16
17,2,4,77,6,Some Random Commen with Id 17
18,2,4,111,4,Some Random Commen with Id 18
19,2,4,133,9,Some Random Commen with Id 19
20,2,4,162,3,Some Random Commen with Id 20
21,3,5,157,6,Some Random Commen with Id 21
22,3,5,150,6,Some Random Commen with Id 22
23,3,5,71,6,Some Random Commen with Id 23
24,4,5,81,9,Some Random Commen with Id 24
25,5,4,86,1,Some Random Commen with Id 25
26,5,4,121,1,Some Random Commen with Id 26
27,6,6,24,0,Some Random Commen with Id 27
28,6,6,10,0,Some Random Commen with Id 28
29,6,6,187,5,Some Random Commen with Id 29
30,6,6,130,5,Some Random Commen with Id 30
31,6,6,141,7,Some Random Commen with Id 31
32,6,6,113,5,Some Random Commen with Id 32
33,6,6,23,5,Some Random Commen with Id 33
34,7,6,182,3,Some Random Commen with Id 34
35,8,2,91,2,Some Random Commen with Id 35
36,8,2,121,8,Some Random Commen with Id 36
37,8,2,139,3,Some Random Commen with Id 37
38,9,0,191,2,Some Random Commen with Id 38
39,9,0,129,2,Some Random Commen with Id 39
40,9,0,94,0,Some Random Commen with Id 40
41,9,0,150,9,Some Random Commen with Id 41
42,9,0,30,3,Some Random Commen with Id 42
43,9,0,151,8,Some Random Commen with Id 43
44,9,0,177,2,Some Random Commen with Id 44
45,9,0,72,4,Some Random Commen with Id 45
46,10,8,147,7,Some Random Commen with Id 46
47,10,8,155,0,Some Random Commen with Id 47
48,10,8,33,2,Some Random Commen with Id 48
49,10,8,104,2,Some Random Commen with Id 49
50,10,8,69,7,Some Random Commen with Id 50
51,10,8,99,2,Some Random Commen with Id 51
52,10,8,164,5,Some Random Commen with Id 52
53,10,8,163,0,Some Random Commen with Id 53
54,11,5,19,2,Some Random Commen with Id 54
55,11,5,45,9,Some Random Commen with Id 55
56,11,5,191,9,Some Random Commen with Id 56
57,11,5,179,5,Some Random Commen with Id 57
58,11,5,157,7,Some Random Commen with Id 58
59,11,5,162,8,Some Random Commen with Id 59
60,11,5,49,0,Some Random Commen with Id 60
61,11,5,83,2,Some Random Commen with Id 61
62,11,5,161,4,Some Random Commen with Id 62
63,12,2,151,9,Some Random Commen with Id 63
64,12,2,2,7,Some Random Commen with Id 64
65,12,2,5,5,Some Random Commen with Id 65
66,12,2,17,8,Some Random Commen with Id 66
67,12,2,162,8,Some Random Commen with Id 67
68,12,2,3,6,Some Random Commen with Id 68
69,15,3,122,5,Some Random Commen with Id 69
70,15,3,126,1,Some Random Commen with Id 70
71,15,3,83,4,Some Random Commen with Id 71
72,15,3,67,3,Some Random Commen with Id 72
73,15,3,168,8,Some Random Commen with Id 73
74,16,2,108,0,Some Random Commen with Id 74
75,17,8,60,4,Some Random Commen with Id 75
76,17,8,21,7,Some Random Commen with Id 76
77,17,8,55,8,Some Random Commen with Id 77
78,17,8,192,0,Some Random Commen with Id 78
79,17,8,90,6,Some Random Commen with Id 79
80,18,0,161,7,Some Random Commen with Id 80
81,19,0,168,2,Some Random Commen with Id 81
82,19,0,118,0,Some Random Commen with Id 82
83,19,0,199,6,Some Random Commen with Id 83
84,19,0,37,7,Some Random Commen with Id 84
85,20,2,48,5,Some Random Commen with Id 85
86,20,2,10,5,Some Random Commen with Id 86
87,20,2,66,4,Some Random Commen with Id 87
88,20,2,79,8,Some Random Commen with Id 88
89,20,2,127,7,Some Random Commen with Id 89
90,20,2,51,4,Some Random Commen with Id 90
91,20,2,184,9,Some Random Commen with Id 91
92,20,2,36,5,Some Random Commen with Id 92
